index,value
"1975-08-01 00:00:00",5421.36
"1975-09-01 00:00:00",5421.36
"1975-10-01 00:00:00",5494.45
"1975-11-01 00:00:00",5494.45
"1975-12-01 00:00:00",5494.45
"1976-01-01 00:00:00",5618.52
"1976-02-01 00:00:00",5618.52
"1976-03-01 00:00:00",5618.52
"1976-04-01 00:00:00",5660.97
"1976-05-01 00:00:00",5660.97
"1976-06-01 00:00:00",5660.97
"1976-07-01 00:00:00",5689.76
"1976-08-01 00:00:00",5689.76
"1976-09-01 00:00:00",5689.76
"1976-10-01 00:00:00",5732.46
"1976-11-01 00:00:00",5732.46
"1976-12-01 00:00:00",5732.46
"1977-01-01 00:00:00",5799.16
"1977-02-01 00:00:00",5799.16
"1977-03-01 00:00:00",5799.16
"1977-04-01 00:00:00",5912.98
"1977-05-01 00:00:00",5912.98
"1977-06-01 00:00:00",5912.98
"1977-07-01 00:00:00",6017.59
"1977-08-01 00:00:00",6017.59
"1977-09-01 00:00:00",6017.59
"1977-10-01 00:00:00",6018.22
"1977-11-01 00:00:00",6018.22
"1977-12-01 00:00:00",6018.22
"1978-01-01 00:00:00",6039.16
"1978-02-01 00:00:00",6039.16
"1978-03-01 00:00:00",6039.16
"1978-04-01 00:00:00",6273.96
"1978-05-01 00:00:00",6273.96
"1978-06-01 00:00:00",6273.96
"1978-07-01 00:00:00",6335.32
"1978-08-01 00:00:00",6335.32
"1978-09-01 00:00:00",6335.32
"1978-10-01 00:00:00",6420.29
"1978-11-01 00:00:00",6420.29
"1978-12-01 00:00:00",6420.29
"1979-01-01 00:00:00",6433.04
"1979-02-01 00:00:00",6433.04
"1979-03-01 00:00:00",6433.04
"1979-04-01 00:00:00",6440.83
"1979-05-01 00:00:00",6440.83
"1979-06-01 00:00:00",6440.83
"1979-07-01 00:00:00",6487.08
"1979-08-01 00:00:00",6487.08
"1979-09-01 00:00:00",6487.08
"1979-10-01 00:00:00",6503.87
"1979-11-01 00:00:00",6503.87
"1979-12-01 00:00:00",6503.87
"1980-01-01 00:00:00",6524.91
"1980-02-01 00:00:00",6524.91
"1980-03-01 00:00:00",6524.91
"1980-04-01 00:00:00",6392.58
"1980-05-01 00:00:00",6392.58
"1980-06-01 00:00:00",6392.58
"1980-07-01 00:00:00",6382.89
"1980-08-01 00:00:00",6382.89
"1980-09-01 00:00:00",6382.89
"1980-10-01 00:00:00",6501.18
"1980-11-01 00:00:00",6501.18
"1980-12-01 00:00:00",6501.18
"1981-01-01 00:00:00",6635.73
"1981-02-01 00:00:00",6635.73
"1981-03-01 00:00:00",6635.73
"1981-04-01 00:00:00",6587.27
"1981-05-01 00:00:00",6587.27
"1981-06-01 00:00:00",6587.27
"1981-07-01 00:00:00",6662.86
"1981-08-01 00:00:00",6662.86
"1981-09-01 00:00:00",6662.86
"1981-10-01 00:00:00",6585.13
"1981-11-01 00:00:00",6585.13
"1981-12-01 00:00:00",6585.13
"1982-01-01 00:00:00",6474.97
"1982-02-01 00:00:00",6474.97
"1982-03-01 00:00:00",6474.97
"1982-04-01 00:00:00",6510.25
"1982-05-01 00:00:00",6510.25
"1982-06-01 00:00:00",6510.25
"1982-07-01 00:00:00",6486.8
"1982-08-01 00:00:00",6486.8
"1982-09-01 00:00:00",6486.8
"1982-10-01 00:00:00",6493.13
"1982-11-01 00:00:00",6493.13
"1982-12-01 00:00:00",6493.13
"1983-01-01 00:00:00",6578.17
"1983-02-01 00:00:00",6578.17
"1983-03-01 00:00:00",6578.17
"1983-04-01 00:00:00",6728.29
"1983-05-01 00:00:00",6728.29
"1983-06-01 00:00:00",6728.29
"1983-07-01 00:00:00",6860.02
"1983-08-01 00:00:00",6860.02
"1983-09-01 00:00:00",6860.02
"1983-10-01 00:00:00",7001.49
"1983-11-01 00:00:00",7001.49
"1983-12-01 00:00:00",7001.49
"1984-01-01 00:00:00",7140.6
"1984-02-01 00:00:00",7140.6
"1984-03-01 00:00:00",7140.6
"1984-04-01 00:00:00",7266.01
"1984-05-01 00:00:00",7266.01
"1984-06-01 00:00:00",7266.01
"1984-07-01 00:00:00",7337.49
"1984-08-01 00:00:00",7337.49
"1984-09-01 00:00:00",7337.49
"1984-10-01 00:00:00",7396.02
"1984-11-01 00:00:00",7396.02
"1984-12-01 00:00:00",7396.02
"1985-01-01 00:00:00",7469.54
"1985-02-01 00:00:00",7469.54
"1985-03-01 00:00:00",7469.54
"1985-04-01 00:00:00",7537.93
"1985-05-01 00:00:00",7537.93
"1985-06-01 00:00:00",7537.93
"1985-07-01 00:00:00",7655.2
"1985-08-01 00:00:00",7655.2
"1985-09-01 00:00:00",7655.2
"1985-10-01 00:00:00",7712.62
"1985-11-01 00:00:00",7712.62
"1985-12-01 00:00:00",7712.62
"1986-01-01 00:00:00",7784.11
"1986-02-01 00:00:00",7784.11
"1986-03-01 00:00:00",7784.11
"1986-04-01 00:00:00",7819.84
"1986-05-01 00:00:00",7819.84
"1986-06-01 00:00:00",7819.84
"1986-07-01 00:00:00",7898.56
"1986-08-01 00:00:00",7898.56
"1986-09-01 00:00:00",7898.56
"1986-10-01 00:00:00",7939.45
"1986-11-01 00:00:00",7939.45
"1986-12-01 00:00:00",7939.45
"1987-01-01 00:00:00",7994.96
"1987-02-01 00:00:00",7994.96
"1987-03-01 00:00:00",7994.96
"1987-04-01 00:00:00",8084.71
"1987-05-01 00:00:00",8084.71
"1987-06-01 00:00:00",8084.71
"1987-07-01 00:00:00",8158.04
"1987-08-01 00:00:00",8158.04
"1987-09-01 00:00:00",8158.04
"1987-10-01 00:00:00",8292.69
"1987-11-01 00:00:00",8292.69
"1987-12-01 00:00:00",8292.69
"1988-01-01 00:00:00",8339.32
"1988-02-01 00:00:00",8339.32
"1988-03-01 00:00:00",8339.32
"1988-04-01 00:00:00",8449.51
"1988-05-01 00:00:00",8449.51
"1988-06-01 00:00:00",8449.51
"1988-07-01 00:00:00",8498.28
"1988-08-01 00:00:00",8498.28
"1988-09-01 00:00:00",8498.28
"1988-10-01 00:00:00",8610.85
"1988-11-01 00:00:00",8610.85
"1988-12-01 00:00:00",8610.85
"1989-01-01 00:00:00",8697.71
"1989-02-01 00:00:00",8697.71
"1989-03-01 00:00:00",8697.71
"1989-04-01 00:00:00",8766.11
"1989-05-01 00:00:00",8766.11
"1989-06-01 00:00:00",8766.11
"1989-07-01 00:00:00",8831.54
"1989-08-01 00:00:00",8831.54
"1989-09-01 00:00:00",8831.54
"1989-10-01 00:00:00",8850.23
"1989-11-01 00:00:00",8850.23
"1989-12-01 00:00:00",8850.23
"1990-01-01 00:00:00",8947.13
"1990-02-01 00:00:00",8947.13
"1990-03-01 00:00:00",8947.13
"1990-04-01 00:00:00",8981.73
"1990-05-01 00:00:00",8981.73
"1990-06-01 00:00:00",8981.73
"1990-07-01 00:00:00",8983.95
"1990-08-01 00:00:00",8983.95
"1990-09-01 00:00:00",8983.95
"1990-10-01 00:00:00",8907.36
"1990-11-01 00:00:00",8907.36
"1990-12-01 00:00:00",8907.36
"1991-01-01 00:00:00",8865.56
"1991-02-01 00:00:00",8865.56
"1991-03-01 00:00:00",8865.56
"1991-04-01 00:00:00",8934.37
"1991-05-01 00:00:00",8934.37
"1991-06-01 00:00:00",8934.37
"1991-07-01 00:00:00",8977.25
"1991-08-01 00:00:00",8977.25
"1991-09-01 00:00:00",8977.25
"1991-10-01 00:00:00",9016.44
"1991-11-01 00:00:00",9016.44
"1991-12-01 00:00:00",9016.44
"1992-01-01 00:00:00",9122.95
"1992-02-01 00:00:00",9122.95
"1992-03-01 00:00:00",9122.95
"1992-04-01 00:00:00",9223.54
"1992-05-01 00:00:00",9223.54
"1992-06-01 00:00:00",9223.54
"1992-07-01 00:00:00",9313.21
"1992-08-01 00:00:00",9313.21
"1992-09-01 00:00:00",9313.21
"1992-10-01 00:00:00",9406.53
"1992-11-01 00:00:00",9406.53
"1992-12-01 00:00:00",9406.53
"1993-01-01 00:00:00",9424.07
"1993-02-01 00:00:00",9424.07
"1993-03-01 00:00:00",9424.07
"1993-04-01 00:00:00",9480.11
"1993-05-01 00:00:00",9480.11
"1993-06-01 00:00:00",9480.11
"1993-07-01 00:00:00",9526.34
"1993-08-01 00:00:00",9526.34
"1993-09-01 00:00:00",9526.34
"1993-10-01 00:00:00",9653.51
"1993-11-01 00:00:00",9653.51
"1993-12-01 00:00:00",9653.51
"1994-01-01 00:00:00",9748.16
